ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
7239,1,0.411,653.012,0.318,3.970,150.000,"LINESTRING (129800 425724, 128422 425901)",344.000,344.000,"LINESTRING (129111 425812, 132556 425975)"
7226,1,0.408,652.941,0.299,4.862,150.000,"LINESTRING (128422 425901, 128413 425900)",357.000,357.000,"LINESTRING (128418 425900, 128764 425922)"
7227,1,0.403,652.874,0.298,5.240,150.000,"LINESTRING (128413 425900, 126544 426095)",363.000,360.000,"LINESTRING (127478 425998, 126980 426006)"
7217,1,0.396,652.817,0.282,5.641,150.000,"LINESTRING (126544 426095, 125665 426338)",365.000,364.000,"LINESTRING (126104 426216, 126448 426152)"
9135,1,0.394,652.777,0.267,5.521,150.000,"LINESTRING (125665 426338, 125529 426367)",368.000,368.000,"LINESTRING (125597 426352, 125645 426345)"
9136,1,0.394,652.746,0.271,5.239,150.000,"LINESTRING (125529 426367, 125252 426427)",369.000,369.000,"LINESTRING (125390 426397, 125376 426405)"
7187,1,0.391,652.746,0.271,5.749,150.000,"LINESTRING (125252 426427, 124950 426491)",370.000,370.000,"LINESTRING (125101 426459, 125107 426466)"
7181,1,0.389,652.716,0.267,5.571,150.000,"LINESTRING (124950 426491, 124608 426564)",371.000,371.000,"LINESTRING (124779 426528, 124839 426527)"
7175,1,0.389,652.680,0.254,6.030,150.000,"LINESTRING (124608 426564, 124341 426621)",372.000,372.000,"LINESTRING (124474 426592, 124572 426584)"
7166,1,0.389,652.680,0.254,4.704,150.000,"LINESTRING (124341 426621, 124331 426622)",373.000,373.000,"LINESTRING (124336 426622, 124305 426640)"
7164,1,0.387,652.680,0.254,5.629,150.000,"LINESTRING (124331 426622, 123831 426713)",376.000,374.000,"LINESTRING (124081 426668, 123545 426757)"
7200,1,0.381,652.566,0.251,5.798,150.000,"LINESTRING (123831 426713, 121766 426290)",377.000,377.000,"LINESTRING (122798 426502, 123303 426746)"
7235,1,0.377,652.469,0.220,6.111,150.000,"LINESTRING (121766 426290, 120797 425747)",388.000,383.000,"LINESTRING (121282 426018, 120767 425716)"
7081,1,6.564,153.360,0.325,2.515,67.150,"LINESTRING (200157 431643, 196430 436078)",1.000,1.000,"LINESTRING (198294 433860, 199770 432051)"
8886,1,6.511,150.360,0.294,3.202,70.000,"LINESTRING (196430 436078, 194515 438985)",30.000,22.000,"LINESTRING (195472 437532, 195599 437296)"
8887,1,6.486,150.360,0.277,2.867,70.000,"LINESTRING (194515 438985, 193929 440310)",39.000,37.000,"LINESTRING (194222 439648, 194489 439079)"
6655,1,6.477,150.360,0.274,2.711,69.115,"LINESTRING (193929 440310, 193926 440313)",45.000,45.000,"LINESTRING (193928 440312, 193913 440332)"
6654,1,6.477,13.925,0.057,2.116,65.761,"LINESTRING (193926 440313, 193768 440421)",0.000,0.000,"LINESTRING (193847 440367, 193700 440470)"
6649,1,6.477,13.925,0.052,2.004,65.067,"LINESTRING (193768 440421, 192818 441231)",3.000,3.000,"LINESTRING (193293 440826, 193179 440853)"
6622,1,6.476,13.925,0.055,2.032,65.236,"LINESTRING (192818 441231, 192812 441239)",5.000,5.000,"LINESTRING (192815 441235, 192882 441137)"
6621,1,6.476,13.925,0.049,1.866,64.207,"LINESTRING (192812 441239, 191937 442555)",12.000,12.000,"LINESTRING (192374 441897, 192227 442390)"
6531,1,6.474,13.925,0.047,2.018,65.149,"LINESTRING (191937 442555, 191034 443070)",14.000,14.000,"LINESTRING (191486 442812, 191860 442582)"
6511,1,6.474,13.925,0.043,2.274,66.737,"LINESTRING (191034 443070, 191026 443075)",18.000,18.000,"LINESTRING (191030 443072, 191158 442969)"
6509,1,6.474,13.925,0.045,2.203,66.297,"LINESTRING (191026 443075, 190252 443561)",20.000,20.000,"LINESTRING (190639 443318, 190823 443201)"
6494,1,6.473,13.925,0.041,2.134,65.873,"LINESTRING (190252 443561, 190244 443568)",26.000,26.000,"LINESTRING (190248 443564, 189813 443900)"
6505,1,6.473,13.925,0.040,1.911,64.488,"LINESTRING (190244 443568, 188342 443248)",27.000,27.000,"LINESTRING (189293 443408, 189621 443970)"
6544,1,6.472,13.925,0.038,2.412,67.593,"LINESTRING (188342 443248, 187107 442494)",40.000,40.000,"LINESTRING (187724 442871, 187572 442475)"
6540,1,6.472,13.925,0.038,2.160,66.033,"LINESTRING (187107 442494, 187098 442498)",42.000,42.000,"LINESTRING (187102 442496, 187165 442464)"
6539,1,6.472,13.925,0.031,2.738,69.614,"LINESTRING (187098 442498, 185214 442777)",51.000,51.000,"LINESTRING (186156 442638, 185414 442848)"
6591,1,6.471,13.925,0.035,2.794,69.961,"LINESTRING (185214 442777, 183995 441864)",53.000,53.000,"LINESTRING (184604 442320, 185032 442698)"
6592,1,6.471,13.925,0.034,3.381,70.000,"LINESTRING (183995 441864, 183987 441858)",59.000,58.000,"LINESTRING (183991 441861, 184067 441930)"
6595,1,6.471,13.925,3.094,2.607,73.657,"LINESTRING (183987 441858, 183644 441685)",61.000,61.000,"LINESTRING (183816 441772, 183714 441724)"
6605,1,5.983,13.925,0.035,2.733,74.666,"LINESTRING (183644 441685, 182703 441474)",66.000,66.000,"LINESTRING (183174 441580, 182717 441481)"
6619,1,5.982,13.925,0.035,2.571,73.368,"LINESTRING (182703 441474, 181084 441551)",67.000,67.000,"LINESTRING (181894 441512, 182527 441399)"
6598,1,5.982,13.925,0.031,3.137,77.895,"LINESTRING (181084 441551, 181075 441556)",73.000,73.000,"LINESTRING (181080 441554, 181335 441441)"
6597,1,5.982,13.925,0.029,2.972,76.574,"LINESTRING (181075 441556, 178492 442128)",90.000,90.000,"LINESTRING (179784 441842, 178282 441948)"
6644,1,5.981,13.926,0.024,3.031,77.046,"LINESTRING (178492 442128, 172995 440571)",100.000,100.000,"LINESTRING (175744 441350, 176310 441478)"
6699,1,5.980,13.926,0.021,3.677,80.000,"LINESTRING (172995 440571, 168011 440492)",131.000,117.000,"LINESTRING (170503 440532, 170699 439250)"
6646,1,5.980,11.926,0.018,4.209,80.000,"LINESTRING (168011 440492, 168001 440494)",141.000,140.000,"LINESTRING (168006 440493, 168913 440207)"
6645,1,5.980,11.927,0.014,4.398,80.000,"LINESTRING (168001 440494, 157896 443799)",162.000,160.000,"LINESTRING (162948 442146, 165313 442224)"
